run,mo_dist,Electrons ,Ebeam,lam_min,lam_max,theta_min,theta_max,Date
8012,12,500000000,5.67,0,360,0.0001,359.9999,Wed Aug 30 10:15:41 2017
8002,2,500000000,5.670000,0.000000,360.000000,0.000100,359.999900,Wed Aug 30 11:57:49 2017
7602,2,50000000,5.67,0.00,180.00,35.00,50.00,Wed Aug 30 12:09:18 2017
7612,12,50000000,5.67,0.00,180.00,35.00,50.00,Wed Aug 30 12:11:10 2017
7612,12,50000000,5.67,0.00,180.00,35.00,50.00,Wed Aug 30 12:11:41 2017
10002,2,50000000,5.67,35.00,50.00,35.00,50.00,Wed Aug 30 13:24:14 2017
10012,12,50000000,5.67,35.00,50.00,35.00,50.00,Wed Aug 30 13:40:52 2017
10112,12,50000000,5.67,0.00,180.00,35.00,50.00,Wed Aug 30 14:04:05 2017
10102,2,50000000,5.67,0.00,180.00,35.00,50.00,Wed Aug 30 14:05:28 2017
10202,2,50000000,5.67,15.00,45.00,15.00,45.00,Wed Aug 30 14:40:43 2017
10212,12,50000000,5.67,15.00,45.00,15.00,45.00,Wed Aug 30 14:47:50 2017
